328.75	2428.67
329.54	2426.33
330.33	2422.33
331.13	2425.67
331.92	2425.67
332.71	2425.33
333.50	2426.67
334.30	2428
335.09	2427
335.88	2425.67
336.67	2426.33
337.47	2429
338.26	2427.67
339.05	2430.33
339.84	2427
340.63	2428.33
341.42	2432.67
342.22	2424.33
343.01	2426
343.80	2427.67
344.59	2429.33
345.38	2427.33
346.17	2427
346.96	2426.67
347.75	2426.67
348.55	2426.67
349.34	2433.33
350.13	2425
350.92	2424.67
351.71	2425
352.50	2427.67
353.29	2428.33
354.08	2429.33
354.87	2426.67
355.66	2434
356.45	2425.33
357.24	2429.67
358.03	2423.67
358.82	2432.33
359.61	2426.33
360.40	2425.33
361.19	2426.33
361.98	2427
362.77	2431.33
363.56	2428.33
364.35	2429.67
365.14	2429.33
365.93	2429.67
366.72	2430
367.51	2432.33
368.29	2430.67
369.08	2430
369.87	2428.67
370.66	2431.33
371.45	2430
372.24	2427
373.03	2427.67
373.81	2422.67
374.60	2428
375.39	2431
376.18	2429.67
376.97	2433
377.76	2434.67
378.54	2427.33
379.33	2430.33
380.12	2427
380.91	2431
381.70	2432.67
382.48	2429
383.27	2431.67
384.06	2428.67
384.85	2428
385.63	2434.33
386.42	2434
387.21	2428
387.99	2434.33
388.78	2436
389.57	2430.33
390.35	2427
391.14	2430
391.93	2428.67
392.71	2430
393.50	2431.67
394.29	2430.67
395.07	2430.33
395.86	2430
396.65	2435
397.43	2433.33
398.22	2432.33
399.00	2435
399.79	2437
400.58	2434.33
401.36	2430.67
402.15	2434.67
402.93	2435.33
403.72	2436.33
404.50	2433.33
405.29	2432
406.08	2435.67
406.86	2435
407.65	2431.67
408.43	2432.33
409.22	2429.67
410.00	2433
410.79	2432.33
411.57	2434.67
412.35	2430.67
413.14	2435
413.92	2435.33
414.71	2434.33
415.49	2435
416.28	2434.67
417.06	2434
417.85	2430.67
418.63	2434
419.41	2434.33
420.20	2435.33
420.98	2430
421.76	2436.33
422.55	2437
423.33	2435.67
424.12	2438
424.90	2441
425.68	2432.33
426.47	2432
427.25	2431.67
428.03	2438.67
428.82	2432.67
429.60	2435.67
430.38	2440
431.16	2436.33
431.95	2440.67
432.73	2434
433.51	2439
434.29	2440.67
435.08	2439.33
435.86	2440.67
436.64	2441.67
437.42	2438.67
438.21	2437
438.99	2435
439.77	2441.67
440.55	2433.67
441.33	2438.33
442.12	2433.33
442.90	2432.67
443.68	2433
444.46	2436.67
445.24	2436
446.02	2439.33
446.80	2436.67
447.59	2438.67
448.37	2436
449.15	2435
449.93	2435.67
450.71	2435.33
451.49	2439.67
452.27	2436
453.05	2438.67
453.83	2439
454.61	2436
455.39	2434
456.17	2440.67
456.95	2437.33
457.73	2438.67
458.51	2436
459.29	2434.33
460.07	2441.33
460.85	2438.67
461.63	2435.67
462.41	2436.67
463.19	2434.67
463.97	2436
464.75	2438.67
465.53	2442.33
466.31	2438
467.09	2434.67
467.87	2437.67
468.65	2439
469.43	2437
470.21	2436.33
470.99	2440.67
471.77	2437.67
472.54	2443.67
473.32	2433.33
474.10	2434.33
474.88	2441.33
475.66	2435.33
476.44	2438.33
477.22	2437
477.99	2435.33
478.77	2441.67
479.55	2438
480.33	2437.67
481.11	2438.33
481.88	2437
482.66	2440.33
483.44	2442
484.22	2435.33
484.99	2437
485.77	2439.33
486.55	2446
487.33	2438.33
488.10	2443.33
488.88	2449.67
489.66	2443
490.43	2442.33
491.21	2445
491.99	2442.67
492.77	2443.67
493.54	2437
494.32	2442.33
495.10	2440.67
495.87	2442
496.65	2435.67
497.42	2439.33
498.20	2442.67
498.98	2437.33
499.75	2441
500.53	2445.33
501.31	2441
502.08	2438.33
502.86	2439.67
503.63	2446.67
504.41	2440
505.18	2442.33
505.96	2437.67
506.73	2439
507.51	2434.33
508.29	2437
509.06	2441.33
509.84	2437.67
510.61	2441.33
511.39	2438.67
512.16	2440
512.94	2438.67
513.71	2445.67
514.48	2440.67
515.26	2440.33
516.03	2442.67
516.81	2440.33
517.58	2444
518.36	2444.67
519.13	2444
519.91	2443.33
520.68	2445.33
521.45	2445
522.23	2449.67
523.00	2447.67
523.78	2449
524.55	2449.33
525.32	2447.67
526.10	2452.67
526.87	2489
527.64	2577
528.42	2723.33
529.19	2958.67
529.96	3077
530.74	3108
531.51	3109
532.28	3109.67
533.05	3087.67
533.83	3044.67
534.60	2921.33
535.37	2681.67
536.14	2495
536.92	2464.67
537.69	2464.33
538.46	2461
539.23	2472
540.01	2479
540.78	2489
541.55	2492.33
542.32	2500.33
543.09	2507.67
543.87	2513
544.64	2522.33
545.41	2540.67
546.18	2578.67
546.95	2640
547.72	2729.33
548.50	2821
549.27	2888.33
550.04	2944.67
550.81	3010.67
551.58	3054
552.35	3091
553.12	3106.33
553.89	3095.33
554.66	3068.67
555.43	3085.67
556.20	3107.67
556.98	3143.67
557.75	3195.67
558.52	3237.67
559.29	3309.67
560.06	3359
560.83	3424
561.60	3484.67
562.37	3555.33
563.14	3618.33
563.91	3690
564.68	3767
565.45	3860.33
566.22	3952
566.99	4077.33
567.75	4230
