#Sample	Not specified	
#B-Field Phi	1.00000393446E+1	deg
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2770000000.00	3728984145.68	360469.000000	361518.000000	0.997098346417
2770850000.00	3728984146.97	350311.000000	351315.000000	0.997142165863
2771700000.00	3728984148.30	353587.000000	354743.000000	0.996741302859
2772550000.00	3728984149.59	354120.000000	355677.000000	0.995622432713
2773400000.00	3728984150.88	352971.000000	353142.000000	0.999515775524
2774250000.00	3728984152.21	352028.000000	352752.000000	0.997947566562
2775100000.00	3728984153.50	345482.000000	347642.000000	0.993786711617
2775950000.00	3728984154.79	338071.000000	340235.000000	0.993639690214
2776800000.00	3728984156.11	342878.000000	342029.000000	1.00248224566
2777650000.00	3728984157.40	340625.000000	340092.000000	1.00156722299
2778500000.00	3728984158.73	338430.000000	339203.000000	0.997721128646
2779350000.00	3728984160.04	334334.000000	334261.000000	1.00021839221
2780200000.00	3728984161.33	336984.000000	338435.000000	0.995712618376
2781050000.00	3728984162.66	334818.000000	336533.000000	0.994903917298
2781900000.00	3728984163.95	333305.000000	334647.000000	0.995989804182
2782750000.00	3728984165.24	329737.000000	329188.000000	1.00166774001
2783600000.00	3728984166.56	325163.000000	325657.000000	0.998483066539
2784450000.00	3728984167.85	322459.000000	321504.000000	1.00297041405
2785300000.00	3728984169.14	321062.000000	320706.000000	1.00111005095
2786150000.00	3728984170.46	319620.000000	320263.000000	0.997992275099
2787000000.00	3728984171.75	323998.000000	323758.000000	1.00074129442
2787850000.00	3728984173.04	328207.000000	326315.000000	1.00579807854
2788700000.00	3728984174.36	320148.000000	320484.000000	0.998951585727
2789550000.00	3728984175.65	320351.000000	319980.000000	1.00115944747
2790400000.00	3728984176.98	314072.000000	314763.000000	0.997804697503
2791250000.00	3728984178.27	314940.000000	315419.000000	0.998481385078
2792100000.00	3728984179.56	323489.000000	322653.000000	1.00259101883
2792950000.00	3728984180.89	317574.000000	317664.000000	0.999716681777
2793800000.00	3728984182.18	316278.000000	316920.000000	0.997974252177
2794650000.00	3728984183.47	315151.000000	315083.000000	1.00021581615
2795500000.00	3728984184.80	314199.000000	315725.000000	0.995166679864
2796350000.00	3728984186.09	316238.000000	318466.000000	0.993003962746
2797200000.00	3728984187.38	321046.000000	321776.000000	0.997731341057
2798050000.00	3728984188.65	317369.000000	318415.000000	0.996714978880
2798900000.00	3728984189.97	312951.000000	313800.000000	0.997294455067
2799750000.00	3728984191.26	315919.000000	316509.000000	0.998135913987
2800600000.00	3728984192.59	313150.000000	312457.000000	1.00221790518
2801450000.00	3728984193.88	309891.000000	310053.000000	0.999477508684
2802300000.00	3728984195.17	308063.000000	308133.000000	0.999772825371
2803150000.00	3728984196.50	307960.000000	307957.000000	1.00000974162
2804000000.00	3728984197.79	296382.000000	296413.000000	0.999895416193
2804850000.00	3728984199.06	300830.000000	300800.000000	1.00009973404
2805700000.00	3728984200.35	301506.000000	301025.000000	1.00159787393
2806550000.00	3728984201.67	299001.000000	298368.000000	1.00212154118
2807400000.00	3728984202.96	304184.000000	302839.000000	1.00444130380
2808250000.00	3728984204.25	296917.000000	296518.000000	1.00134561814
2809100000.00	3728984205.57	301117.000000	301581.000000	0.998461441536
2809950000.00	3728984206.86	299593.000000	300509.000000	0.996951838381
2810800000.00	3728984208.15	294740.000000	294868.000000	0.999565907457
2811650000.00	3728984209.47	302954.000000	302290.000000	1.00219656621
2812500000.00	3728984210.76	303582.000000	301525.000000	1.00682198823
2813350000.00	3728984212.05	293751.000000	293860.000000	0.999629075070
2814200000.00	3728984213.38	289173.000000	288545.000000	1.00217643695
2815050000.00	3728984214.67	294237.000000	294056.000000	1.00061552901
2815900000.00	3728984215.96	291597.000000	291501.000000	1.00032932992
2816750000.00	3728984217.28	291780.000000	291942.000000	0.999445095259
2817600000.00	3728984218.57	291773.000000	291967.000000	0.999335541345
