#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3728977498.73	963911.000000	963755.000000	1.00016186686
2752000000.00	3728977500.05	959764.000000	962234.000000	0.997433056824
2754000000.00	3728977501.34	951693.000000	951972.000000	0.999706924153
2756000000.00	3728977502.67	969114.000000	971231.000000	0.997820291980
2758000000.00	3728977503.96	967600.000000	967023.000000	1.00059667660
2760000000.00	3728977505.25	958814.000000	959217.000000	0.999579865661
2762000000.00	3728977506.58	957495.000000	958210.000000	0.999253817013
2764000000.00	3728977507.87	968528.000000	967831.000000	1.00072016705
2766000000.00	3728977509.16	964080.000000	964398.000000	0.999670260619
2768000000.00	3728977510.49	952418.000000	954527.000000	0.997790528712
2770000000.00	3728977511.78	957654.000000	960091.000000	0.997461698943
2772000000.00	3728977513.07	962011.000000	964080.000000	0.997853912538
2774000000.00	3728977514.40	957054.000000	960513.000000	0.996398799392
2776000000.00	3728977515.69	961707.000000	960260.000000	1.00150688355
2778000000.00	3728977516.98	945197.000000	946565.000000	0.998554774368
2780000000.00	3728977518.31	952446.000000	952630.000000	0.999806850509
2782000000.00	3728977519.60	951809.000000	953509.000000	0.998217111742
2784000000.00	3728977520.89	955892.000000	957276.000000	0.998554230964
2786000000.00	3728977522.22	959623.000000	957886.000000	1.00181336819
2788000000.00	3728977523.51	957612.000000	958409.000000	0.999168413485
2790000000.00	3728977524.80	946573.000000	946487.000000	1.00009086232
2792000000.00	3728977526.13	954528.000000	956500.000000	0.997938316780
2794000000.00	3728977527.40	963617.000000	962898.000000	1.00074670422
2796000000.00	3728977528.69	950169.000000	951496.000000	0.998605354095
2798000000.00	3728977530.02	944107.000000	945315.000000	0.998722119082
2800000000.00	3728977531.31	942869.000000	943912.000000	0.998895024112
2802000000.00	3728977532.60	943531.000000	946179.000000	0.997201375215
2804000000.00	3728977533.93	952670.000000	954406.000000	0.998181067596
2806000000.00	3728977535.22	956145.000000	955520.000000	1.00065409411
2808000000.00	3728977536.51	957118.000000	957053.000000	1.00006791682
2810000000.00	3728977537.83	954771.000000	957897.000000	0.996736601117
2812000000.00	3728977539.12	950187.000000	948783.000000	1.00147979043
2814000000.00	3728977540.41	942343.000000	943913.000000	0.998336711116
2816000000.00	3728977541.74	948828.000000	951265.000000	0.997438148150
2818000000.00	3728977543.03	955568.000000	957065.000000	0.998435842916
2820000000.00	3728977544.32	940817.000000	946779.000000	0.993702859907
2822000000.00	3728977545.65	942543.000000	950672.000000	0.991449206456
2824000000.00	3728977546.94	946576.000000	955913.000000	0.990232374704
2826000000.00	3728977548.23	943814.000000	947419.000000	0.996194925371
2828000000.00	3728977549.55	958143.000000	960932.000000	0.997097609404
2830000000.00	3728977550.84	939227.000000	939327.000000	0.999893540801
2832000000.00	3728977552.13	948502.000000	948954.000000	0.999523686080
2834000000.00	3728977553.45	965701.000000	966778.000000	0.998885990372
2836000000.00	3728977554.74	951242.000000	953220.000000	0.997924928138
2838000000.00	3728977556.03	957014.000000	957878.000000	0.999098006218
2840000000.00	3728977557.35	955729.000000	957125.000000	0.998541465326
2842000000.00	3728977558.64	966077.000000	968944.000000	0.997041108671
2844000000.00	3728977559.93	954167.000000	960855.000000	0.993039532500
2846000000.00	3728977561.25	953702.000000	960790.000000	0.992622737539
2848000000.00	3728977562.54	950052.000000	956436.000000	0.993325219879
2850000000.00	3728977563.87	958246.000000	961040.000000	0.997092732873
2852000000.00	3728977565.16	959857.000000	962157.000000	0.997609537737
2854000000.00	3728977566.45	954578.000000	956961.000000	0.997509825374
2856000000.00	3728977567.78	950805.000000	951882.000000	0.998868557237
2858000000.00	3728977569.07	954407.000000	956133.000000	0.998194811810
2860000000.00	3728977570.36	947976.000000	947997.000000	0.999977848031
2862000000.00	3728977571.69	952685.000000	953955.000000	0.998668700306
2864000000.00	3728977572.98	964634.000000	967555.000000	0.996981050173
2866000000.00	3728977574.27	959143.000000	960223.000000	0.998875261267
2868000000.00	3728977575.60	961627.000000	964126.000000	0.997408015135
2870000000.00	3728977576.89	964460.000000	965066.000000	0.999372063672
2872000000.00	3728977578.18	951141.000000	951347.000000	0.999783464919
2874000000.00	3728977579.51	961042.000000	962133.000000	0.998866061137
2876000000.00	3728977580.80	978777.000000	979312.000000	0.999453698106
2878000000.00	3728977582.09	967596.000000	967731.000000	0.999860498424
2880000000.00	3728977583.41	968474.000000	968437.000000	1.00003820589
2882000000.00	3728977584.70	980356.000000	981153.000000	0.999187690401
2884000000.00	3728977586.03	969897.000000	968344.000000	1.00160376891
2886000000.00	3728977587.32	956573.000000	955587.000000	1.00103182651
2888000000.00	3728977588.61	957781.000000	958172.000000	0.999591931303
2890000000.00	3728977589.94	969467.000000	970112.000000	0.999335128315
2892000000.00	3728977591.23	982039.000000	982210.000000	0.999825902811
2894000000.00	3728977592.52	990826.000000	995339.000000	0.995465866403
2896000000.00	3728977593.85	980722.000000	991661.000000	0.988969012596
2898000000.00	3728977595.14	980382.000000	987488.000000	0.992803963187
2900000000.00	3728977596.43	988246.000000	996384.000000	0.991832466198
2902000000.00	3728977597.75	981643.000000	988651.000000	0.992911553217
2904000000.00	3728977599.04	993421.000000	994943.000000	0.998470264126
2906000000.00	3728977600.33	994356.000000	994340.000000	1.00001609108
2908000000.00	3728977601.65	996450.000000	996839.000000	0.999609766472
2910000000.00	3728977602.94	1005703.00000	1005925.00000	0.999779307602
2912000000.00	3728977604.23	1007519.00000	1009494.00000	0.998043574306
2914000000.00	3728977605.55	995701.000000	997490.000000	0.998206498311
2916000000.00	3728977606.84	996231.000000	998585.000000	0.997642664370
2918000000.00	3728977608.13	991187.000000	996148.000000	0.995019816333
2920000000.00	3728977609.45	980958.000000	985027.000000	0.995869148764
2922000000.00	3728977610.74	984662.000000	992012.000000	0.992590815434
2924000000.00	3728977612.03	983798.000000	991187.000000	0.992545301744
2926000000.00	3728977613.35	991912.000000	993998.000000	0.997901404228
2928000000.00	3728977614.64	981409.000000	986291.000000	0.995050142402
2930000000.00	3728977615.93	979102.000000	981459.000000	0.997598473293
2932000000.00	3728977617.25	986133.000000	988704.000000	0.997399626177
2934000000.00	3728977618.54	990182.000000	988800.000000	1.00139765372
2936000000.00	3728977619.83	974757.000000	977511.000000	0.997182640400
2938000000.00	3728977621.15	987685.000000	988632.000000	0.999042110715
2940000000.00	3728977622.44	989932.000000	991920.000000	0.997995806113
2942000000.00	3728977623.77	995730.000000	998002.000000	0.997723451456
2944000000.00	3728977625.06	993664.000000	995877.000000	0.997777838026
2946000000.00	3728977626.35	999975.000000	1003524.00000	0.996463462757
2948000000.00	3728977627.68	993031.000000	994635.000000	0.998387348123
2950000000.00	3728977628.97	986748.000000	986864.000000	0.999882455941
2952000000.00	3728977630.26	1002466.00000	1003883.00000	0.998588480929
2954000000.00	3728977631.57	999758.000000	998727.000000	1.00103231414
2956000000.00	3728977632.86	1002445.00000	1003401.00000	0.999047240336
2958000000.00	3728977634.15	990746.000000	988682.000000	1.00208762777
2960000000.00	3728977635.48	1012564.00000	1012140.00000	1.00041891438
2962000000.00	3728977636.77	1005371.00000	1005949.00000	0.999425418187
2964000000.00	3728977638.06	1005961.00000	1003719.00000	1.00223369290
2966000000.00	3728977639.39	1002286.00000	1004235.00000	0.998059219207
2968000000.00	3728977640.68	1010672.00000	1009178.00000	1.00148041277
2970000000.00	3728977641.97	1025549.00000	1024067.00000	1.00144717094
2972000000.00	3728977643.29	1005156.00000	1007072.00000	0.998097454800
2974000000.00	3728977644.58	1018728.00000	1018263.00000	1.00045666002
2976000000.00	3728977645.87	1024307.00000	1025386.00000	0.998947713349
2978000000.00	3728977647.20	1020688.00000	1019970.00000	1.00070394227
2980000000.00	3728977648.49	1019576.00000	1019159.00000	1.00040916089
2982000000.00	3728977649.78	1011904.00000	1011767.00000	1.00013540667
2984000000.00	3728977651.10	1014693.00000	1018252.00000	0.996504794491
2986000000.00	3728977652.39	1023372.00000	1023344.00000	1.00002736128
2988000000.00	3728977653.68	1023413.00000	1022360.00000	1.00102996987
2990000000.00	3728977655.00	1024983.00000	1024320.00000	1.00064725867
