#Sample	Not specified	
#B-Field Theta	9.99995937235E+1	deg
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2790000000.00	3728992604.36	1150475.00000	1152829.00000	0.997958066634
2790850000.00	3728992605.69	1151633.00000	1155983.00000	0.996236968883
2791700000.00	3728992606.98	1148263.00000	1148301.00000	0.999966907631
2792550000.00	3728992608.27	1147869.00000	1148201.00000	0.999710852020
2793400000.00	3728992609.60	1141490.00000	1141295.00000	1.00017085854
2794250000.00	3728992610.89	1150425.00000	1150028.00000	1.00034520899
2795100000.00	3728992612.18	1153132.00000	1154964.00000	0.998413803374
2795950000.00	3728992613.51	1153057.00000	1153126.00000	0.999940162654
2796800000.00	3728992614.80	1143318.00000	1144173.00000	0.999252735382
2797650000.00	3728992616.09	1144777.00000	1149469.00000	0.995918115234
2798500000.00	3728992617.42	1147523.00000	1148012.00000	0.999574046264
2799350000.00	3728992618.71	1150061.00000	1150098.00000	0.999967828828
2800200000.00	3728992620.00	1137991.00000	1137122.00000	1.00076421000
2801050000.00	3728992621.32	1131597.00000	1133188.00000	0.998595996428
2801900000.00	3728992622.61	1126630.00000	1130214.00000	0.996828919125
2802750000.00	3728992623.90	1129826.00000	1129688.00000	1.00012215762
2803600000.00	3728992625.22	1126244.00000	1126983.00000	0.999344266950
2804450000.00	3728992626.51	1124720.00000	1125516.00000	0.999292768828
2805300000.00	3728992627.80	1133172.00000	1132095.00000	1.00095133359
2806150000.00	3728992629.12	1129569.00000	1131318.00000	0.998454015582
2807000000.00	3728992630.41	1141554.00000	1143228.00000	0.998535725157
2807850000.00	3728992631.70	1134873.00000	1138506.00000	0.996808975974
2808700000.00	3728992633.03	1138871.00000	1138910.00000	0.999965756732
2809550000.00	3728992634.32	1139778.00000	1139949.00000	0.999849993289
2810400000.00	3728992635.61	1149030.00000	1149330.00000	0.999738978361
2811250000.00	3728992636.93	1153864.00000	1157885.00000	0.996527288979
2812100000.00	3728992638.22	1150890.00000	1151303.00000	0.999641276015
2812950000.00	3728992639.55	1148309.00000	1151533.00000	0.997200253922
2813800000.00	3728992640.84	1151201.00000	1153046.00000	0.998399890377
2814650000.00	3728992642.13	1155303.00000	1155438.00000	0.999883161191
2815500000.00	3728992643.46	1153481.00000	1155462.00000	0.998285534271
2816350000.00	3728992644.75	1150944.00000	1153284.00000	0.997971011477
2817200000.00	3728992646.04	1151647.00000	1150791.00000	1.00074383620
2818050000.00	3728992647.37	1147210.00000	1147535.00000	0.999716784238
2818900000.00	3728992648.66	1155708.00000	1155048.00000	1.00057140482
2819750000.00	3728992649.95	1157730.00000	1159178.00000	0.998750838957
2820600000.00	3728992651.28	1147108.00000	1146979.00000	1.00011246937
2821450000.00	3728992652.57	1142858.00000	1143217.00000	0.999685973879
2822300000.00	3728992653.86	1143040.00000	1143224.00000	0.999839051664
2823150000.00	3728992655.19	1144107.00000	1144119.00000	0.999989511581
2824000000.00	3728992656.48	1150666.00000	1151122.00000	0.999603864751
2824850000.00	3728992657.77	1139451.00000	1140199.00000	0.999343974166
2825700000.00	3728992659.10	1135403.00000	1137627.00000	0.998045053431
2826550000.00	3728992660.39	1147557.00000	1148225.00000	0.999418232489
2827400000.00	3728992661.68	1148749.00000	1151716.00000	0.997423844073
2828250000.00	3728992663.00	1145860.00000	1147574.00000	0.998506414401
2829100000.00	3728992664.29	1149642.00000	1151507.00000	0.998380383272
2829950000.00	3728992665.62	1138367.00000	1143558.00000	0.995460658751
2830800000.00	3728992666.91	1143155.00000	1146367.00000	0.997198104970
2831650000.00	3728992668.20	1140454.00000	1143702.00000	0.997160099397
2832500000.00	3728992669.53	1144870.00000	1149517.00000	0.995957432556
2833350000.00	3728992670.82	1148749.00000	1154692.00000	0.994853172967
2834200000.00	3728992672.11	1141851.00000	1148481.00000	0.994227157437
2835050000.00	3728992673.44	1137579.00000	1145069.00000	0.993458909463
2835900000.00	3728992674.73	1128113.00000	1137289.00000	0.991931690186
2836750000.00	3728992676.02	1128212.00000	1141687.00000	0.988197290501
2837600000.00	3728992677.35	1127820.00000	1141783.00000	0.987770881157
2838450000.00	3728992678.64	1128752.00000	1146152.00000	0.984818767493
2839300000.00	3728992679.93	1127730.00000	1144080.00000	0.985709041326
2840150000.00	3728992681.26	1122580.00000	1138302.00000	0.986188199617
2841000000.00	3728992682.55	1124686.00000	1139638.00000	0.986880044365
2841850000.00	3728992683.84	1131515.00000	1141337.00000	0.991394303348
2842700000.00	3728992685.17	1133357.00000	1139605.00000	0.994517398572
2843550000.00	3728992686.46	1127279.00000	1134763.00000	0.993404790251
2844400000.00	3728992687.75	1115938.00000	1122431.00000	0.994215234611
2845250000.00	3728992689.08	1123553.00000	1129868.00000	0.994410851533
2846100000.00	3728992690.37	1120160.00000	1123258.00000	0.997241951537
2846950000.00	3728992691.66	1128112.00000	1131380.00000	0.997111492160
2847800000.00	3728992692.99	1129521.00000	1131182.00000	0.998531624442
2848650000.00	3728992694.28	1119865.00000	1121031.00000	0.998959886033
