#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2750000000.00	3728976850.78	1115805.00000	1117154.00000	0.998792467287
2752000000.00	3728976852.06	1116638.00000	1116119.00000	1.00046500418
2754000000.00	3728976853.35	1113508.00000	1116506.00000	0.997314837538
2756000000.00	3728976854.67	1111845.00000	1116852.00000	0.995516863470
2758000000.00	3728976855.96	1115488.00000	1115759.00000	0.999757116008
2760000000.00	3728976857.29	1113106.00000	1116206.00000	0.997222734872
2762000000.00	3728976858.58	1115119.00000	1115293.00000	0.999843987185
2764000000.00	3728976859.87	1110388.00000	1110275.00000	1.00010177659
2766000000.00	3728976861.14	1110777.00000	1115632.00000	0.995648206577
2768000000.00	3728976862.46	1117572.00000	1120783.00000	0.997135038629
2770000000.00	3728976863.75	1110147.00000	1111805.00000	0.998508731297
2772000000.00	3728976865.04	1118088.00000	1120361.00000	0.997971189643
2774000000.00	3728976866.36	1119735.00000	1124448.00000	0.995808610091
2776000000.00	3728976867.65	1116874.00000	1122303.00000	0.995162625423
2778000000.00	3728976868.94	1100129.00000	1109447.00000	0.991601221149
2780000000.00	3728976870.26	1098351.00000	1106429.00000	0.992699034461
2782000000.00	3728976871.55	1104553.00000	1117330.00000	0.988564703355
2784000000.00	3728976872.88	1111118.00000	1120371.00000	0.991741128608
2786000000.00	3728976874.17	1106096.00000	1115773.00000	0.991327088933
2788000000.00	3728976875.46	1107211.00000	1112924.00000	0.994866675532
2790000000.00	3728976876.79	1112203.00000	1119135.00000	0.993805930473
2792000000.00	3728976878.08	1111918.00000	1120582.00000	0.992268303435
2794000000.00	3728976879.37	1119363.00000	1122583.00000	0.997131615212
2796000000.00	3728976880.70	1119539.00000	1121119.00000	0.998590693762
2798000000.00	3728976881.99	1112029.00000	1113415.00000	0.998755181132
2800000000.00	3728976883.28	1105564.00000	1110101.00000	0.995912984494
2802000000.00	3728976884.61	1105777.00000	1105369.00000	1.00036910751
2804000000.00	3728976885.90	1115190.00000	1116098.00000	0.999186451369
2806000000.00	3728976887.19	1115037.00000	1115907.00000	0.999220365138
2808000000.00	3728976888.52	1104074.00000	1109147.00000	0.995426214920
2810000000.00	3728976889.81	1116423.00000	1119234.00000	0.997488460858
2812000000.00	3728976891.10	1126192.00000	1127079.00000	0.999213009913
2814000000.00	3728976892.43	1112074.00000	1116316.00000	0.996200000717
2816000000.00	3728976893.72	1113543.00000	1113604.00000	0.999945222898
2818000000.00	3728976895.01	1107945.00000	1109894.00000	0.998243976452
2820000000.00	3728976896.34	1105807.00000	1108823.00000	0.997279998701
2822000000.00	3728976897.63	1122779.00000	1124197.00000	0.998738655236
2824000000.00	3728976898.92	1119325.00000	1120035.00000	0.999366091238
2826000000.00	3728976900.21	1120896.00000	1124217.00000	0.997045943977
2828000000.00	3728976901.53	1125294.00000	1127762.00000	0.997811595000
2830000000.00	3728976902.82	1127659.00000	1132182.00000	0.996005059257
2832000000.00	3728976904.11	1124734.00000	1125990.00000	0.998884537163
2834000000.00	3728976905.43	1128758.00000	1129301.00000	0.999519171594
2836000000.00	3728976906.72	1122678.00000	1124974.00000	0.997959063943
2838000000.00	3728976908.01	1123262.00000	1123783.00000	0.999536387363
