#Sample	Not specified	
#B-Field Phi	5.23810885575E+1	deg
RF-Frequency	Timestamp
Hz	s since 1904-01-01 12amUTC
2770000000.00	3728981989.64
2770850000.00	3728981989.65
2771700000.00	3728981989.66
2772550000.00	3728981989.67
2773400000.00	3728981989.68
2774250000.00	3728981989.69
2775100000.00	3728981989.70
2775950000.00	3728981989.70
2776800000.00	3728981989.71
2777650000.00	3728981989.72
2778500000.00	3728981989.73
2779350000.00	3728981989.74
2780200000.00	3728981989.75
2781050000.00	3728981989.76
2781900000.00	3728981989.76
2782750000.00	3728981989.77
2783600000.00	3728981989.78
2784450000.00	3728981989.79
2785300000.00	3728981989.80
2786150000.00	3728981989.81
2787000000.00	3728981989.82
2787850000.00	3728981989.83
2788700000.00	3728981989.84
2789550000.00	3728981989.84
2790400000.00	3728981989.85
2791250000.00	3728981989.86
2792100000.00	3728981989.87
2792950000.00	3728981989.88
2793800000.00	3728981989.89
2794650000.00	3728981989.90
2795500000.00	3728981989.91
2796350000.00	3728981989.92
2797200000.00	3728981989.92
2798050000.00	3728981989.93
2798900000.00	3728981989.94
2799750000.00	3728981989.95
2800600000.00	3728981989.96
2801450000.00	3728981989.97
2802300000.00	3728981989.98
2803150000.00	3728981989.99
2804000000.00	3728981990.00
2804850000.00	3728981990.00
2805700000.00	3728981990.01
2806550000.00	3728981990.02
2807400000.00	3728981990.03
2808250000.00	3728981990.04
2809100000.00	3728981990.05
2809950000.00	3728981990.06
2810800000.00	3728981990.06
2811650000.00	3728981990.07
2812500000.00	3728981990.08
2813350000.00	3728981990.09
2814200000.00	3728981990.10
2815050000.00	3728981990.11
2815900000.00	3728981990.12
2816750000.00	3728981990.13
2817600000.00	3728981990.14
2818450000.00	3728981990.14
2819300000.00	3728981990.15
2820150000.00	3728981990.16
2821000000.00	3728981990.17
2821850000.00	3728981990.18
2822700000.00	3728981990.19
2823550000.00	3728981990.19
2824400000.00	3728981990.20
2825250000.00	3728981990.21
2826100000.00	3728981990.22
2826950000.00	3728981990.23
2827800000.00	3728981990.24
2828650000.00	3728981990.25
2829500000.00	3728981990.26
2830350000.00	3728981990.27
2831200000.00	3728981990.27
2832050000.00	3728981990.28
2832900000.00	3728981990.29
2833750000.00	3728981990.30
2834600000.00	3728981990.31
2835450000.00	3728981990.32
2836300000.00	3728981990.33
2837150000.00	3728981990.33
2838000000.00	3728981990.34
2838850000.00	3728981990.35
2839700000.00	3728981990.36
2840550000.00	3728981990.37
2841400000.00	3728981990.38
2842250000.00	3728981990.39
2843100000.00	3728981990.40
2843950000.00	3728981990.41
2844800000.00	3728981990.42
2845650000.00	3728981990.42
2846500000.00	3728981990.43
2847350000.00	3728981990.44
2848200000.00	3728981990.45
2849050000.00	3728981990.46
2849900000.00	3728981990.47
2850750000.00	3728981990.48
2851600000.00	3728981990.48
2852450000.00	3728981990.49
2853300000.00	3728981990.50
2854150000.00	3728981990.51
2855000000.00	3728981990.52
2855850000.00	3728981990.53
2856700000.00	3728981990.54
2857550000.00	3728981990.55
2858400000.00	3728981990.56
2859250000.00	3728981990.56
2860100000.00	3728981990.57
2860950000.00	3728981990.58
2861800000.00	3728981990.59
2862650000.00	3728981990.60
2863500000.00	3728981990.61
2864350000.00	3728981990.62
2865200000.00	3728981990.62
2866050000.00	3728981990.63
2866900000.00	3728981990.64
2867750000.00	3728981990.65
2868600000.00	3728981990.66
2869450000.00	3728981990.67
2870300000.00	3728981990.68
2871150000.00	3728981990.69
2872000000.00	3728981990.70
2872850000.00	3728981990.70
2873700000.00	3728981990.71
2874550000.00	3728981990.72
2875400000.00	3728981990.73
2876250000.00	3728981990.74
2877100000.00	3728981990.75
2877950000.00	3728981990.76
2878800000.00	3728981990.77
2879650000.00	3728981990.77
2880500000.00	3728981990.78
2881350000.00	3728981990.79
2882200000.00	3728981990.80
2883050000.00	3728981990.81
2883900000.00	3728981990.82
2884750000.00	3728981990.83
2885600000.00	3728981990.84
2886450000.00	3728981990.85
2887300000.00	3728981990.85
2888150000.00	3728981990.86
2889000000.00	3728981990.87
2889850000.00	3728981990.88
2890700000.00	3728981990.89
2891550000.00	3728981990.90
2892400000.00	3728981990.91
2893250000.00	3728981990.92
2894100000.00	3728981990.92
2894950000.00	3728981990.93
2895800000.00	3728981990.94
2896650000.00	3728981990.95
2897500000.00	3728981990.96
2898350000.00	3728981990.97
2899200000.00	3728981990.98
2900050000.00	3728981990.99
2900900000.00	3728981990.99
2901750000.00	3728981991.00
2902600000.00	3728981991.01
2903450000.00	3728981991.02
2904300000.00	3728981991.03
2905150000.00	3728981991.04
2906000000.00	3728981991.05
2906850000.00	3728981991.06
2907700000.00	3728981991.07
2908550000.00	3728981991.07
2909400000.00	3728981991.08
2910250000.00	3728981991.09
2911100000.00	3728981991.10
2911950000.00	3728981991.11
2912800000.00	3728981991.12
2913650000.00	3728981991.13
2914500000.00	3728981991.14
2915350000.00	3728981991.14
2916200000.00	3728981991.15
2917050000.00	3728981991.16
2917900000.00	3728981991.17
2918750000.00	3728981991.18
2919600000.00	3728981991.19
2920450000.00	3728981991.20
2921300000.00	3728981991.20
2922150000.00	3728981991.21
2923000000.00	3728981991.22
2923850000.00	3728981991.23
2924700000.00	3728981991.24
2925550000.00	3728981991.25
2926400000.00	3728981991.26
2927250000.00	3728981991.27
2928100000.00	3728981991.27
2928950000.00	3728981991.28
2929800000.00	3728981991.29
2930650000.00	3728981991.30
2931500000.00	3728981991.31
2932350000.00	3728981991.32
2933200000.00	3728981991.33
2934050000.00	3728981991.33
2934900000.00	3728981991.34
2935750000.00	3728981991.35
2936600000.00	3728981991.36
2937450000.00	3728981991.37
2938300000.00	3728981991.38
2939150000.00	3728981991.39
2940000000.00	3728981991.40
2940850000.00	3728981991.40
2941700000.00	3728981991.41
2942550000.00	3728981991.42
2943400000.00	3728981991.43
2944250000.00	3728981991.44
2945100000.00	3728981991.45
2945950000.00	3728981991.46
2946800000.00	3728981991.47
2947650000.00	3728981991.47
2948500000.00	3728981991.48
2949350000.00	3728981991.49
2950200000.00	3728981991.50
2951050000.00	3728981991.51
2951900000.00	3728981991.52
2952750000.00	3728981991.52
2953600000.00	3728981991.53
2954450000.00	3728981991.54
2955300000.00	3728981991.55
2956150000.00	3728981991.56
2957000000.00	3728981991.57
2957850000.00	3728981991.58
2958700000.00	3728981991.58
2959550000.00	3728981991.59
2960400000.00	3728981991.60
2961250000.00	3728981991.61
2962100000.00	3728981991.62
2962950000.00	3728981991.63
2963800000.00	3728981991.64
2964650000.00	3728981991.64
2965500000.00	3728981991.65
2966350000.00	3728981991.66
2967200000.00	3728981991.67
2968050000.00	3728981991.68
2968900000.00	3728981991.69
2969750000.00	3728981991.70
