#Sample	Not specified	
#B-Field Phi	5.00013779847E+0	deg
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2770000000.00	3728984987.44	1153157.00000	1152316.00000	1.00072983452
2770850000.00	3728984988.73	1154324.00000	1153239.00000	1.00094082840
2771700000.00	3728984990.06	1152707.00000	1155427.00000	0.997645891952
2772550000.00	3728984991.35	1152288.00000	1152733.00000	0.999613960909
2773400000.00	3728984992.64	1152977.00000	1154315.00000	0.998840870993
2774250000.00	3728984993.97	1156460.00000	1157670.00000	0.998954797136
2775100000.00	3728984995.26	1154538.00000	1158611.00000	0.996484583695
2775950000.00	3728984996.55	1160580.00000	1160773.00000	0.999833731488
2776800000.00	3728984997.88	1154373.00000	1151708.00000	1.00231395458
2777650000.00	3728984999.17	1155398.00000	1157943.00000	0.997802137065
2778500000.00	3728985000.46	1159193.00000	1161545.00000	0.997975110736
2779350000.00	3728985001.79	1156391.00000	1156062.00000	1.00028458681
2780200000.00	3728985003.08	1150630.00000	1152869.00000	0.998057888624
2781050000.00	3728985004.37	1158058.00000	1158800.00000	0.999359682430
2781900000.00	3728985005.70	1156399.00000	1156932.00000	0.999539298766
2782750000.00	3728985006.99	1159255.00000	1159639.00000	0.999668862465
2783600000.00	3728985008.28	1155973.00000	1158103.00000	0.998160785353
2784450000.00	3728985009.61	1158792.00000	1160426.00000	0.998591896424
2785300000.00	3728985010.90	1155058.00000	1156750.00000	0.998537281176
2786150000.00	3728985012.19	1158299.00000	1157800.00000	1.00043098981
2787000000.00	3728985013.52	1160693.00000	1161520.00000	0.999288001929
2787850000.00	3728985014.81	1157602.00000	1161143.00000	0.996950418682
2788700000.00	3728985016.10	1160573.00000	1161276.00000	0.999394631423
2789550000.00	3728985017.43	1158204.00000	1160345.00000	0.998154859115
2790400000.00	3728985018.72	1160314.00000	1161737.00000	0.998775110029
2791250000.00	3728985020.01	1160145.00000	1160169.00000	0.999979313359
2792100000.00	3728985021.34	1159298.00000	1160858.00000	0.998656166387
2792950000.00	3728985022.63	1160009.00000	1162199.00000	0.998115641125
2793800000.00	3728985023.92	1161568.00000	1162600.00000	0.999112334423
2794650000.00	3728985025.25	1158003.00000	1160389.00000	0.997943792987
2795500000.00	3728985026.54	1159543.00000	1162881.00000	0.997129542920
2796350000.00	3728985027.83	1160132.00000	1161833.00000	0.998535934166
2797200000.00	3728985029.16	1160475.00000	1160693.00000	0.999812181171
2798050000.00	3728985030.45	1160002.00000	1160992.00000	0.999147280946
2798900000.00	3728985031.74	1154537.00000	1156619.00000	0.998199925818
2799750000.00	3728985033.07	1157223.00000	1159734.00000	0.997834848336
2800600000.00	3728985034.36	1157463.00000	1157299.00000	1.00014170927
2801450000.00	3728985035.65	1155464.00000	1154694.00000	1.00066684334
2802300000.00	3728985036.97	1159520.00000	1160792.00000	0.998904196445
2803150000.00	3728985038.26	1161479.00000	1163617.00000	0.998162625675
2804000000.00	3728985039.59	1160078.00000	1162141.00000	0.998224828140
2804850000.00	3728985040.88	1159070.00000	1159091.00000	0.999981882354
2805700000.00	3728985042.17	1153783.00000	1157818.00000	0.996514996312
2806550000.00	3728985043.50	1158356.00000	1161836.00000	0.997004740772
2807400000.00	3728985044.79	1154912.00000	1159022.00000	0.996453906828
2808250000.00	3728985046.08	1157131.00000	1158350.00000	0.998947641041
2809100000.00	3728985047.41	1156822.00000	1158810.00000	0.998284446976
2809950000.00	3728985048.70	1158698.00000	1159149.00000	0.999610921460
2810800000.00	3728985049.99	1160310.00000	1161778.00000	0.998736419522
2811650000.00	3728985051.31	1159423.00000	1160165.00000	0.999360435800
2812500000.00	3728985052.60	1159150.00000	1162341.00000	0.997254678274
2813350000.00	3728985053.93	1158392.00000	1161683.00000	0.997167041267
2814200000.00	3728985055.22	1163506.00000	1164256.00000	0.999355811780
2815050000.00	3728985056.51	1162250.00000	1161202.00000	1.00090251309
2815900000.00	3728985057.84	1160936.00000	1162905.00000	0.998306826439
2816750000.00	3728985059.13	1155576.00000	1158946.00000	0.997092185486
2817600000.00	3728985060.42	1158657.00000	1159950.00000	0.998885296780
2818450000.00	3728985061.75	1160868.00000	1160133.00000	1.00063354805
2819300000.00	3728985063.04	1160521.00000	1163325.00000	0.997589667548
2820150000.00	3728985064.33	1159734.00000	1163139.00000	0.997072576880
2821000000.00	3728985065.65	1163522.00000	1163794.00000	0.999766281662
2821850000.00	3728985066.94	1159816.00000	1159217.00000	1.00051672810
2822700000.00	3728985068.23	1156996.00000	1156125.00000	1.00075337874
2823550000.00	3728985069.55	1157502.00000	1158493.00000	0.999144578344
2824400000.00	3728985070.84	1165019.00000	1166702.00000	0.998557472259
2825250000.00	3728985072.17	1164046.00000	1166658.00000	0.997761126226
2826100000.00	3728985073.46	1161034.00000	1161647.00000	0.999472300966
2826950000.00	3728985074.75	1158070.00000	1159293.00000	0.998945046679
2827800000.00	3728985076.08	1161093.00000	1163200.00000	0.998188617607
2828650000.00	3728985077.37	1166007.00000	1165474.00000	1.00045732466
2829500000.00	3728985078.66	1160025.00000	1163369.00000	0.997125589559
2830350000.00	3728985079.99	1159489.00000	1161374.00000	0.998376922507
2831200000.00	3728985081.28	1155306.00000	1160005.00000	0.995949155392
2832050000.00	3728985082.57	1159055.00000	1161293.00000	0.998072837777
2832900000.00	3728985083.86	1155574.00000	1160754.00000	0.995537383459
2833750000.00	3728985085.18	1154752.00000	1160365.00000	0.995162728969
2834600000.00	3728985086.47	1153339.00000	1162869.00000	0.991804751868
2835450000.00	3728985087.76	1151797.00000	1161167.00000	0.991930531956
2836300000.00	3728985089.08	1147084.00000	1159450.00000	0.989334598301
2837150000.00	3728985090.37	1151998.00000	1161356.00000	0.991942177937
2838000000.00	3728985091.66	1142845.00000	1158123.00000	0.986807964266
2838850000.00	3728985092.98	1143632.00000	1157865.00000	0.987707547944
2839700000.00	3728985094.27	1142165.00000	1156810.00000	0.987340185510
2840550000.00	3728985095.60	1142743.00000	1157862.00000	0.986942312642
2841400000.00	3728985096.89	1147966.00000	1162057.00000	0.987874088793
2842250000.00	3728985098.18	1149134.00000	1160720.00000	0.990018264525
2843100000.00	3728985099.51	1151305.00000	1163491.00000	0.989526347862
2843950000.00	3728985100.80	1151706.00000	1159418.00000	0.993348386863
2844800000.00	3728985102.09	1152935.00000	1162278.00000	0.991961475654
2845650000.00	3728985103.42	1151794.00000	1161326.00000	0.991792141053
2846500000.00	3728985104.71	1155923.00000	1161127.00000	0.995518147455
