#Sample	Not specified	
#B-Field Phi	1.00000177451E+1	deg
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2770000000.00	3728985297.31	1181270.00000	1184836.00000	0.996990300767
2770850000.00	3728985298.60	1184563.00000	1180724.00000	1.00325139491
2771700000.00	3728985299.89	1178293.00000	1179388.00000	0.999071552364
2772550000.00	3728985301.21	1177191.00000	1180947.00000	0.996819501637
2773400000.00	3728985302.50	1179667.00000	1180784.00000	0.999054018347
2774250000.00	3728985303.79	1180435.00000	1180703.00000	0.999773016584
2775100000.00	3728985305.11	1183274.00000	1183304.00000	0.999974647259
2775950000.00	3728985306.40	1182832.00000	1184714.00000	0.998411430945
2776800000.00	3728985307.69	1184834.00000	1185546.00000	0.999399432835
2777650000.00	3728985309.01	1177796.00000	1180574.00000	0.997646907352
2778500000.00	3728985310.30	1180380.00000	1182264.00000	0.998406447291
2779350000.00	3728985311.63	1178128.00000	1181220.00000	0.997382367383
2780200000.00	3728985312.92	1180518.00000	1181896.00000	0.998834076772
2781050000.00	3728985314.21	1187214.00000	1187824.00000	0.999486455906
2781900000.00	3728985315.54	1182396.00000	1187141.00000	0.996003002171
2782750000.00	3728985316.83	1187895.00000	1189150.00000	0.998944624311
2783600000.00	3728985318.12	1190196.00000	1190721.00000	0.999559090669
2784450000.00	3728985319.45	1187162.00000	1187808.00000	0.999456141060
2785300000.00	3728985320.74	1191585.00000	1191558.00000	1.00002265941
2786150000.00	3728985322.03	1187485.00000	1191231.00000	0.996855353831
2787000000.00	3728985323.36	1187602.00000	1188622.00000	0.999141863435
2787850000.00	3728985324.65	1189320.00000	1191713.00000	0.997991966186
2788700000.00	3728985325.94	1188123.00000	1189130.00000	0.999153162396
2789550000.00	3728985327.27	1184528.00000	1184206.00000	1.00027191215
2790400000.00	3728985328.56	1190473.00000	1191470.00000	0.999163218545
2791250000.00	3728985329.85	1193872.00000	1192936.00000	1.00078461879
2792100000.00	3728985331.17	1189566.00000	1191267.00000	0.998572108520
2792950000.00	3728985332.46	1187837.00000	1189374.00000	0.998707723559
2793800000.00	3728985333.75	1189747.00000	1191577.00000	0.998464220105
2794650000.00	3728985335.07	1188887.00000	1190762.00000	0.998425378035
2795500000.00	3728985336.36	1187505.00000	1189059.00000	0.998693084195
2796350000.00	3728985337.65	1188084.00000	1188121.00000	0.999968858391
2797200000.00	3728985338.97	1189144.00000	1191526.00000	0.998000882901
2798050000.00	3728985340.26	1189894.00000	1190487.00000	0.999501884523
2798900000.00	3728985341.55	1186768.00000	1189199.00000	0.997955766865
2799750000.00	3728985342.87	1189013.00000	1191017.00000	0.998317404370
2800600000.00	3728985344.16	1190306.00000	1190849.00000	0.999544022794
2801450000.00	3728985345.45	1192843.00000	1193824.00000	0.999178270834
2802300000.00	3728985346.77	1191779.00000	1194266.00000	0.997917549357
2803150000.00	3728985348.06	1193594.00000	1194821.00000	0.998973067932
2804000000.00	3728985349.39	1191232.00000	1191960.00000	0.999389241250
2804850000.00	3728985350.68	1186892.00000	1187625.00000	0.999382801810
2805700000.00	3728985351.97	1188495.00000	1191409.00000	0.997554156465
2806550000.00	3728985353.30	1192152.00000	1192893.00000	0.999378821068
2807400000.00	3728985354.59	1191807.00000	1192396.00000	0.999506036585
2808250000.00	3728985355.88	1191417.00000	1193231.00000	0.998479757901
2809100000.00	3728985357.21	1189951.00000	1192030.00000	0.998255916378
2809950000.00	3728985358.50	1187738.00000	1189933.00000	0.998155358327
2810800000.00	3728985359.79	1189874.00000	1185734.00000	1.00349150821
2811650000.00	3728985361.12	1189045.00000	1190187.00000	0.999040486915
