#Sample	Not specified
RF-Frequency	Timestamp	Photon Counter1 CH A	Photon Counter1 CH B	Photon Counter1 Ratio
Hz	s since 1904-01-01 12amUTC	counts	counts	a.u.
2820000000.00	3728979325.21	1167301.00000	1168763.00000	0.998749104823
2820500000.00	3728979326.65	1160827.00000	1161333.00000	0.999564293790
2821000000.00	3728979329.25	1153799.00000	1152734.00000	1.00092389051
2821500000.00	3728979330.54	1145083.00000	1148409.00000	0.997103819284
2822000000.00	3728979331.83	1167862.00000	1170118.00000	0.998071989321
2822500000.00	3728979333.16	1159422.00000	1160209.00000	0.999321673940
2823000000.00	3728979334.46	1162980.00000	1165163.00000	0.998126442395
2823500000.00	3728979335.75	1168804.00000	1171182.00000	0.997969572620
2824000000.00	3728979337.08	1169659.00000	1171193.00000	0.998690224412
2824500000.00	3728979338.37	1170116.00000	1171119.00000	0.999143554156
2825000000.00	3728979339.66	1180185.00000	1180176.00000	1.00000762598
2825500000.00	3728979340.93	1173217.00000	1175767.00000	0.997831202951
2826000000.00	3728979342.26	1178441.00000	1177016.00000	1.00121068872
2826500000.00	3728979343.55	1171962.00000	1173177.00000	0.998964350648
2827000000.00	3728979344.83	1166004.00000	1162899.00000	1.00267005131
2827500000.00	3728979346.16	1161977.00000	1165161.00000	0.997267330438
2828000000.00	3728979347.43	1161937.00000	1164400.00000	0.997884747509
2828500000.00	3728979348.75	1167632.00000	1168957.00000	0.998866510915
2829000000.00	3728979350.02	1175136.00000	1174064.00000	1.00091306777
2829500000.00	3728979351.31	1164143.00000	1166748.00000	0.997767298508
2830000000.00	3728979352.64	1169184.00000	1169341.00000	0.999865736342
2830500000.00	3728979353.93	1159728.00000	1161109.00000	0.998810619847
2831000000.00	3728979355.22	1167746.00000	1168067.00000	0.999725186997
2831500000.00	3728979356.54	1173255.00000	1174686.00000	0.998781802116
2832000000.00	3728979357.83	1169591.00000	1171080.00000	0.998728524097
2832500000.00	3728979359.12	1164797.00000	1165354.00000	0.999522033648
2833000000.00	3728979360.44	1172263.00000	1172516.00000	0.999784224693
2833500000.00	3728979361.71	1158294.00000	1159850.00000	0.998658447213
2834000000.00	3728979363.00	1158731.00000	1159296.00000	0.999512635254
2834500000.00	3728979364.33	1162361.00000	1160194.00000	1.00186779108
2835000000.00	3728979365.62	1153006.00000	1153344.00000	0.999706939127
2835500000.00	3728979366.91	1147061.00000	1145169.00000	1.00165215789
2836000000.00	3728979368.23	1142377.00000	1144124.00000	0.998473067605
2836500000.00	3728979369.52	1160241.00000	1159775.00000	1.00040180207
2837000000.00	3728979370.80	1168125.00000	1170410.00000	0.998047692689
2837500000.00	3728979372.09	1170728.00000	1171501.00000	0.999340162748
2838000000.00	3728979373.41	1160196.00000	1161409.00000	0.998955578956
2838500000.00	3728979374.69	1151354.00000	1156080.00000	0.995912047609
2839000000.00	3728979375.97	1153840.00000	1152603.00000	1.00107322296
2839500000.00	3728979377.29	1138736.00000	1144437.00000	0.995018511285
2840000000.00	3728979378.58	1146255.00000	1147031.00000	0.999323470769
2840500000.00	3728979379.87	1155919.00000	1156496.00000	0.999501079122
2841000000.00	3728979381.19	1147525.00000	1150270.00000	0.997613603763
2841500000.00	3728979382.48	1149699.00000	1151936.00000	0.998058051836
2842000000.00	3728979383.81	1154785.00000	1158269.00000	0.996992063156
2842500000.00	3728979385.10	1153170.00000	1154699.00000	0.998675845393
2843000000.00	3728979386.40	1162174.00000	1163316.00000	0.999018323482
2843500000.00	3728979387.68	1163632.00000	1167719.00000	0.996500014130
2844000000.00	3728979388.97	1170271.00000	1170083.00000	1.00016067236
2844500000.00	3728979390.30	1160297.00000	1162085.00000	0.998461386215
2845000000.00	3728979391.59	1147760.00000	1149783.00000	0.998240537562
2845500000.00	3728979392.88	1141008.00000	1142871.00000	0.998369894765
2846000000.00	3728979394.21	1154523.00000	1158326.00000	0.996716813747
2846500000.00	3728979395.49	1145287.00000	1146161.00000	0.999237454424
2847000000.00	3728979396.82	1143401.00000	1144756.00000	0.998816341648
2847500000.00	3728979398.11	1138063.00000	1140806.00000	0.997595559631
2848000000.00	3728979399.40	1133788.00000	1133268.00000	1.00045884998
2848500000.00	3728979400.69	1133950.00000	1137113.00000	0.997218394302
2849000000.00	3728979401.98	1137173.00000	1139963.00000	0.997552552144
2849500000.00	3728979403.30	1147734.00000	1153001.00000	0.995431920701
2850000000.00	3728979404.62	1143313.00000	1145332.00000	0.998237192360
2850500000.00	3728979405.91	1146636.00000	1148645.00000	0.998250982680
2851000000.00	3728979407.20	1146222.00000	1146943.00000	0.999371372422
2851500000.00	3728979408.52	1150721.00000	1152139.00000	0.998769245725
2852000000.00	3728979409.81	1147016.00000	1150752.00000	0.996753427324
2852500000.00	3728979411.11	1145281.00000	1146911.00000	0.998578791205
2853000000.00	3728979412.42	1137520.00000	1140180.00000	0.997667035030
2853500000.00	3728979413.70	1142744.00000	1144401.00000	0.998552080958
2854000000.00	3728979414.98	1140723.00000	1142826.00000	0.998159824855
2854500000.00	3728979416.31	1130428.00000	1132815.00000	0.997892859823
2855000000.00	3728979417.60	1137539.00000	1139730.00000	0.998077614874
2855500000.00	3728979418.89	1140056.00000	1142477.00000	0.997880920141
2856000000.00	3728979420.21	1135311.00000	1142315.00000	0.993868591413
2856500000.00	3728979421.50	1131006.00000	1137103.00000	0.994638128648
2857000000.00	3728979422.79	1131530.00000	1137364.00000	0.994870595517
2857500000.00	3728979424.12	1129649.00000	1137173.00000	0.993383592470
2858000000.00	3728979425.41	1134057.00000	1139327.00000	0.995374462292
2858500000.00	3728979426.70	1130168.00000	1138063.00000	0.993062774205
2859000000.00	3728979428.02	1139716.00000	1150786.00000	0.990380487771
2859500000.00	3728979429.31	1130201.00000	1143469.00000	0.988396712110
2860000000.00	3728979430.64	1127222.00000	1138879.00000	0.989764496492
2860500000.00	3728979431.93	1129070.00000	1143617.00000	0.987279832321
2861000000.00	3728979433.22	1126739.00000	1143063.00000	0.985719072352
2861500000.00	3728979434.49	1129523.00000	1146721.00000	0.985002454826
2862000000.00	3728979435.81	1126422.00000	1146358.00000	0.982609272147
2862500000.00	3728979437.09	1130492.00000	1146596.00000	0.985954948386
2863000000.00	3728979438.37	1136928.00000	1151446.00000	0.987391505985
2863500000.00	3728979439.68	1126141.00000	1141234.00000	0.986774841969
2864000000.00	3728979440.97	1121718.00000	1138921.00000	0.984895352707
2864500000.00	3728979442.26	1109643.00000	1125406.00000	0.985993499235
2865000000.00	3728979443.59	1115833.00000	1132306.00000	0.985451812496
2865500000.00	3728979444.88	1122939.00000	1136886.00000	0.987732279226
2866000000.00	3728979446.17	1128937.00000	1139966.00000	0.990325150048
2866500000.00	3728979447.50	1138391.00000	1150712.00000	0.989292716162
2867000000.00	3728979448.79	1137157.00000	1145546.00000	0.992676854531
2867500000.00	3728979450.12	1133067.00000	1138855.00000	0.994917702429
2868000000.00	3728979451.41	1134209.00000	1143151.00000	0.992177761293
2868500000.00	3728979452.70	1141057.00000	1146077.00000	0.995619840552
2869000000.00	3728979454.02	1141347.00000	1145650.00000	0.996244053594
2869500000.00	3728979455.31	1142722.00000	1148106.00000	0.995310537529
2870000000.00	3728979456.60	1144387.00000	1148194.00000	0.996684358218
2870500000.00	3728979457.93	1155102.00000	1156888.00000	0.998456203193
2871000000.00	3728979459.22	1144418.00000	1149518.00000	0.995563357860
2871500000.00	3728979460.51	1153037.00000	1154899.00000	0.998387737802
2872000000.00	3728979461.84	1148249.00000	1150425.00000	0.998108525110
2872500000.00	3728979463.13	1131954.00000	1137404.00000	0.995208386818
2873000000.00	3728979464.42	1135096.00000	1138773.00000	0.996771086072
2873500000.00	3728979465.75	1137825.00000	1140143.00000	0.997966921693
2874000000.00	3728979467.04	1136409.00000	1141267.00000	0.995743327372
